count	msgid	msgstr	modules
5	Inspector	Người kiểm hóa	g10_hybrid_production g10_one_off_production g10_production g10_shirt_production g10_veston_production
5	Menu	Danh mục	g10_hybrid_production g10_one_off_production g10_production g10_shirt_production g10_veston_production
5	Note	Ghi chú	g10_hybrid_production g10_one_off_production g10_shirt_production g10_stock g10_veston_production
5	Partner	Khách hàng	g10_hybrid_production g10_master g10_shirt_production g10_stock g10_veston_production
5	Picking Count	Số phiếu xuất kho	g10_one_off_production g10_production g10_shirt_production g10_stock g10_veston_production
5	Plan Quantity	Số lượng cần sản xuất	g10_hybrid_production g10_one_off_production g10_production g10_shirt_production g10_veston_production
5	Pre Order	Đơn đặt hàng	g10_hybrid_production g10_master g10_production g10_shirt_production g10_veston_production
5	Product Color Code	Mã màu	g10_master g10_miti_synchronization g10_production g10_shirt_production g10_veston_production
5	Product Size	Cỡ sản phẩm	g10_master g10_miti_synchronization g10_production g10_shirt_production g10_veston_production
5	Production Defect	Mã lỗi	g10_hybrid_production g10_one_off_production g10_production g10_shirt_production g10_veston_production
5	Production Lines	Chi tiết lệnh SX	g10_hybrid_production g10_master g10_one_off_production g10_production g10_veston_production
5	Production Unit	Đơn vị	g10_hybrid_production g10_master g10_production g10_shirt_production g10_veston_production
5	Qty	Số lượng	g10_hybrid_production g10_one_off_production g10_production g10_shirt_production g10_veston_production
5	Reject	Từ chối	g10_hybrid_production g10_one_off_production g10_production g10_shirt_production g10_veston_production
5	Res Production Cluster	Cụm SX	g10_hybrid_production g10_master g10_one_off_production g10_shirt_production g10_veston_production
5	Roll Number	Cuộn số	g10_hybrid_production g10_one_off_production g10_shirt_production g10_stock g10_veston_production
5	Vendor	Nhà cung cấp	g10_hybrid_production g10_miti_synchronization g10_production g10_shirt_production g10_veston_production
4	Action Needed	Tác vụ cần thiết	g10_production g10_shirt_production g10_stock g10_veston_production
4	Actual Quantity	Số lượng thực tế	g10_hybrid_production g10_production g10_shirt_production g10_veston_production
4	Attachment Count	Số lượng tệp đính kèm	g10_production g10_shirt_production g10_stock g10_veston_production
4	Cancel reason is required!	Vui lòng nhập lý do từ chối!	g10_hybrid_production g10_one_off_production g10_shirt_production g10_veston_production
4	Color Name	Tên Màu	g10_hybrid_production g10_master g10_shirt_production g10_veston_production
4	Colors	Màu	g10_hybrid_production g10_shirt_production g10_stock g10_veston_production
4	Component Category	Nhóm thành phần	g10_hybrid_production g10_master g10_one_off_production g10_veston_production
4	Components	Thành phần	g10_hybrid_production g10_master g10_one_off_production g10_veston_production
4	Cutting Stage	Công đoạn Cắt	g10_hybrid_production g10_one_off_production g10_shirt_production g10_veston_production
4	Date Done	Ngày hoàn thành	g10_hybrid_production g10_one_off_production g10_shirt_production g10_veston_production
4	Defect	Lỗi	g10_hybrid_production g10_master g10_shirt_production g10_veston_production
4	Defect Code	Mã lỗi	g10_master g10_production g10_shirt_production g10_veston_production
4	Description	Ghi chú	g10_hybrid_production g10_one_off_production g10_stock g10_veston_production
4	End Buyer	Buyer	g10_hybrid_production g10_production g10_shirt_production g10_veston_production
4	Export	Xuất	g10_hybrid_production g10_one_off_production g10_shirt_production g10_veston_production
4	Exported	Đã xuất	g10_hybrid_production g10_one_off_production g10_shirt_production g10_veston_production
4	Fabric Type	Loại vải	g10_hybrid_production g10_one_off_production g10_stock g10_veston_production
4	Fail	Không đạt	g10_hybrid_production g10_one_off_production g10_production g10_veston_production
4	Followers	Người theo dõi	g10_production g10_shirt_production g10_stock g10_veston_production
4	Followers (Partners)	Người theo dõi (Đối tác)	g10_production g10_shirt_production g10_stock g10_veston_production
4	Grace Period	Ân hạn	g10_hybrid_production g10_production g10_shirt_production g10_veston_production
4	Has Message	Có tin nhắn	g10_production g10_shirt_production g10_stock g10_veston_production
4	Head Piece	Đầu tấm	g10_hybrid_production g10_shirt_production g10_stock g10_veston_production
4	If checked, new messages require your attention.	Nếu chọn, bạn cần chú ý tới các tin nhắn mới.	g10_production g10_shirt_production g10_stock g10_veston_production
4	If checked, some messages have a delivery error.	Nếu chọn, một số tin nhắn sẽ có lỗi gửi.	g10_production g10_shirt_production g10_stock g10_veston_production
4	Images	Ảnh	g10_one_off_production g10_production g10_shirt_production g10_veston_production
4	Imported	Đã nhập	g10_hybrid_production g10_one_off_production g10_shirt_production g10_veston_production
4	Inspection Quantity	Số lượng	g10_one_off_production g10_production g10_shirt_production g10_veston_production
4	Inspection Type	Ngày kiểm	g10_production g10_shirt_production g10_stock g10_veston_production
4	Is Follower	Là người theo dõi	g10_production g10_shirt_production g10_stock g10_veston_production
4	Length	Độ dài	g10_hybrid_production g10_one_off_production g10_shirt_production g10_veston_production
4	Lines	Chi tiết	g10_hybrid_production g10_one_off_production g10_shirt_production g10_veston_production
4	Material Color	Màu NPL	g10_hybrid_production g10_one_off_production g10_stock g10_veston_production
4	Message Delivery error	Lỗi gửi tin nhắn	g10_production g10_shirt_production g10_stock g10_veston_production
4	Messages	Tin nhắn	g10_production g10_shirt_production g10_stock g10_veston_production
4	Number of Actions	Số lượng tác vụ	g10_production g10_shirt_production g10_stock g10_veston_production
4	Number of errors	Số lượng lỗi	g10_production g10_shirt_production g10_stock g10_veston_production
4	Number of messages requiring action	Số tin nhắn cần xử lý	g10_production g10_shirt_production g10_stock g10_veston_production
4	Number of messages with delivery error	Số tin nhắn bị gửi lỗi	g10_production g10_shirt_production g10_stock g10_veston_production
4	Package	Kiện hàng	g10_hybrid_production g10_shirt_production g10_stock g10_veston_production
4	Pass	Đạt	g10_hybrid_production g10_one_off_production g10_production g10_veston_production
4	Pass Qty	SL Đạt	g10_hybrid_production g10_production g10_shirt_production g10_veston_production
4	Pending	Trình duyệt	g10_master g10_mattermost_integration g10_one_off_production g10_veston_production
4	Pickings	Điều chuyển	g10_production g10_shirt_production g10_stock g10_veston_production
4	Pressing Stage	Công đoạn là	g10_hybrid_production g10_one_off_production g10_shirt_production g10_veston_production
4	Product Color	Màu sản phẩm	g10_miti_synchronization g10_production g10_shirt_production g10_veston_production
4	Product Unit of Measure	Đơn vị sản xuất	g10_hybrid_production g10_miti_synchronization g10_shirt_production g10_veston_production
4	Production Cutting Unit	Đơn vị cắt	g10_hybrid_production g10_production g10_shirt_production g10_veston_production
4	Production Defect Area	Khu vực lỗi	g10_one_off_production g10_production g10_shirt_production g10_veston_production
4	Production Documents	Sở cứ tài liệu	g10_hybrid_production g10_production g10_shirt_production g10_veston_production
4	Production Orders	Lệnh sản xuất	g10_hybrid_production g10_production g10_shirt_production g10_veston_production
4	Production Seconds	Giây chế tạo	g10_hybrid_production g10_production g10_shirt_production g10_veston_production
4	Production Sewing Unit	Đơn vị May	g10_hybrid_production g10_production g10_shirt_production g10_veston_production
4	Recheck Count	Số lần recheck	g10_one_off_production g10_production g10_shirt_production g10_veston_production
4	Recheck Quantity	Số lượng recheck	g10_one_off_production g10_production g10_shirt_production g10_veston_production
4	SMS Delivery error	Lỗi gửi SMS	g10_production g10_shirt_production g10_stock g10_veston_production
4	Sample Quantity	Số lượng lấy mẫu	g10_hybrid_production g10_production g10_shirt_production g10_stock
4	Scanning...	Đang quét...	g10_hybrid_production g10_one_off_production g10_shirt_production g10_veston_production
4	Set to Draft	Chuyển về Nháp	g10_hybrid_production g10_one_off_production g10_shirt_production g10_veston_production
4	Sewing Stage	Công đoạn May	g10_hybrid_production g10_one_off_production g10_shirt_production g10_veston_production
4	Shine	Ánh/Lót	g10_hybrid_production g10_shirt_production g10_stock g10_veston_production
4	Size	Cỡ	g10_hybrid_production g10_shirt_production g10_stock g10_veston_production
4	Sizes	Cỡ/Vóc	g10_hybrid_production g10_master g10_shirt_production g10_veston_production
4	Stage Inspection	Kiểm hóa công đoạn	g10_mattermost_integration g10_mobile g10_production g10_shirt_production
4	Stage Inspection Lines	Chi tiết kiểm hóa	g10_hybrid_production g10_production g10_shirt_production g10_veston_production
4	Supply Lines	Chi tiết nhập	g10_hybrid_production g10_one_off_production g10_shirt_production g10_veston_production
4	Supply Quantity	Số lượng cấp	g10_one_off_production g10_production g10_shirt_production g10_veston_production
4	Sync Date	Ngày đồng bộ	g10_hybrid_production g10_production g10_shirt_production g10_veston_production
4	Total Pass Quantity	Tổng số lượng đạt	g10_one_off_production g10_production g10_shirt_production g10_veston_production
4	Total Qty	Tổng SL nhập	g10_hybrid_production g10_production g10_shirt_production g10_veston_production
4	Total Quantity	Tổng	g10_hybrid_production g10_production g10_shirt_production g10_veston_production
4	Update	Cập nhật	g10_hybrid_production g10_shirt_production g10_veston_production
4	Warning	Cảnh báo	g10_one_off_production g10_shirt_production g10_stock g10_veston_production
4	Website Messages	Thông báo trên trang web	g10_production g10_shirt_production g10_stock g10_veston_production
4	Website communication history	Lịch sử trao đổi qua trang web	g10_production g10_shirt_production g10_stock g10_veston_production
3	"<span class=""o_stat_text"">Stage Inspections</span>"	"<span class=""o_stat_text"">Kiểm hóa cắt</span>"	g10_hybrid_production g10_shirt_production g10_veston_production
3	AQL Quantity	Số lượng AQL	g10_hybrid_production g10_production g10_shirt_production
3	AQL Rule	Quy tắc AQL	g10_hybrid_production g10_production g10_shirt_production
3	Accumulate Pass Qty	Số lượng đạt lũy kế	g10_hybrid_production g10_one_off_production g10_veston_production
3	Accumulated Imported Qty	Lũy kế nhập	g10_hybrid_production g10_one_off_production g10_veston_production
3	Active	Đang hoạt động	g10_mattermost_integration g10_shirt_production g10_stock
3	Activities	Hoạt động	g10_production g10_shirt_production g10_stock
3	Activity Exception Decoration	Hoạt động ngoại lệ	g10_production g10_shirt_production g10_stock
3	Activity State	Trạng thái hoạt động	g10_production g10_shirt_production g10_stock
3	Activity Type Icon	Biểu tượng loại hoạt động	g10_production g10_shirt_production g10_stock
3	Are you sure you want to cancel this document?	Bạn có chắc chắn muốn hủy phiếu này không?	g10_hybrid_production g10_shirt_production g10_veston_production
3	Barcode	Mã vạch	g10_hybrid_production g10_shirt_production g10_veston_production
3	Bundle	Bọn	g10_hybrid_production g10_shirt_production g10_veston_production
3	Bundle Name	Số bọn	g10_hybrid_production g10_shirt_production g10_veston_production
3	Bundles	Số bọn	g10_hybrid_production g10_shirt_production g10_veston_production
3	Check Fail	Không đạt	g10_hybrid_production g10_shirt_production g10_veston_production
3	Check Pass	Đạt	g10_hybrid_production g10_shirt_production g10_veston_production
3	Code	Mã	g10_master g10_one_off_production g10_production
3	Companies	Công ty	g10_master g10_miti_synchronization g10_production
3	Component Categories	Nhóm thành phần	g10_master g10_one_off_production g10_veston_production
3	Confirmation Date	Ngày xác nhận	g10_hybrid_production g10_shirt_production g10_veston_production
3	Confirmed By	Người xác nhận	g10_hybrid_production g10_one_off_production g10_veston_production
3	Consumption Length	Chiều dài tiêu hao	g10_hybrid_production g10_shirt_production g10_veston_production
3	Conversion between Units of Measure can only occur if they belong to the same category. The conversion will be made based on the ratios.	Chuyển đổi giữa các Đơn vị tính chỉ thực hiện được khi cùng nhóm. Việc chuyển đổi sẽ dựa trên hệ số tỉ lệ.	g10_hybrid_production g10_shirt_production g10_veston_production
3	Cutting Details	Chi tiết cắt	g10_hybrid_production g10_shirt_production g10_veston_production
3	Cutting Request	Phiếu trải vải	g10_hybrid_production g10_shirt_production g10_veston_production
3	Cutting Request Lines	Chi tiết phiếu trải vải	g10_hybrid_production g10_shirt_production g10_veston_production
3	Cutting Table Allocation	Hạch toán bàn cắt	g10_hybrid_production g10_shirt_production g10_veston_production
3	Cutting Table Allocation Line	Chi tiết Hạch toán bàn cắt	g10_hybrid_production g10_shirt_production g10_veston_production
3	Cutting Table Allocation Lines	Chi tiết Hạch toán bàn cắt	g10_hybrid_production g10_shirt_production g10_veston_production
3	Cutting Table Documents	Phiếu ra bàn cắt	g10_hybrid_production g10_shirt_production g10_veston_production
3	Declare Sequence Number	Khai báo STT	g10_hybrid_production g10_master g10_veston_production
3	Defect Description (fail)	Mô tả lỗi (không đạt)	g10_hybrid_production g10_production g10_shirt_production
3	Defect Qty	Số lượng Lỗi	g10_hybrid_production g10_shirt_production g10_veston_production
3	Defect values is required!	Giá trị lỗi là bắt buộc!	g10_one_off_production g10_production g10_veston_production
3	Done Sewing Inspection Lines	Chi tiết kiểm hóa đã hoàn thành	g10_hybrid_production g10_one_off_production g10_veston_production
3	Fabric	Loại vải	g10_hybrid_production g10_master g10_veston_production
3	Fabric Composition	Thành phần vải	g10_master g10_stock g10_veston_production
3	Fabric Meter	Số mét vải	g10_hybrid_production g10_veston_production
3	Fabric Roll	Mã cuộn vải	g10_one_off_production g10_stock g10_veston_production
3	Fabrics	Loại vải	g10_hybrid_production g10_master g10_veston_production
3	Fail Qty	SL Lỗi	g10_hybrid_production g10_shirt_production g10_veston_production
3	Figure	Vóc	g10_hybrid_production g10_shirt_production g10_veston_production
3	Figures	Vóc	g10_hybrid_production g10_master g10_shirt_production
3	Final Factory Inspection	Kiểm Final Xí nghiệp	g10_production g10_shirt_production g10_veston_production
3	Final Inspection	Kiểm Final	g10_production g10_shirt_production g10_veston_production
3	Following Inspections	Kiểm hóa tiếp theo	g10_hybrid_production g10_one_off_production g10_veston_production
3	Font awesome icon e.g. fa-tasks	Font biểu tượng, ví dụ: fa-tasks	g10_production g10_shirt_production g10_stock
3	Garment Part	Chi tiết Áo/Quần	g10_hybrid_production g10_master g10_veston_production
3	ID	ID	g10_mattermost_integration g10_shirt_production report_py3o
3	Icon	Biểu tượng	g10_production g10_shirt_production g10_stock
3	Icon to indicate an exception activity.	Biểu tượng cho thấy một hoạt động ngoại lệ.	g10_production g10_shirt_production g10_stock
3	Image 128	Hình ảnh 128	g10_production g10_shirt_production g10_veston_production
3	Inspection	Kiểm hóa	g10_hybrid_production g10_shirt_production g10_veston_production
3	Inspection Date	Ngày kiểm	g10_hybrid_production g10_production g10_veston_production
3	Inspection Defects	Lỗi kiểm hóa	g10_hybrid_production g10_shirt_production g10_veston_production
3	Inspection For	Kiểm hóa cho	g10_hybrid_production g10_master g10_veston_production
3	Inspection Lines	Chi tiết kiểm hóa	g10_hybrid_production g10_shirt_production g10_veston_production
3	Is Error	Cuộn lỗi	g10_hybrid_production g10_shirt_production g10_veston_production
3	Is Manual Consumable Length	Là độ dài tiêu hao thủ công	g10_hybrid_production g10_shirt_production g10_veston_production
3	Is Manual Remaining Length	Là độ dài còn lại thủ công	g10_hybrid_production g10_shirt_production g10_veston_production
3	Is Sample	Chọn mẫu	g10_hybrid_production g10_shirt_production g10_veston_production
3	Latest Roll	Cuộn cuối cùng	g10_hybrid_production g10_shirt_production g10_veston_production
3	Length Ply	Chiều dài lá	g10_hybrid_production g10_shirt_production g10_veston_production
3	Load Data	Lấy dữ liệu	g10_hybrid_production g10_one_off_production g10_veston_production
3	Main Fabric	Vải chính	g10_hybrid_production g10_one_off_production g10_veston_production
3	Marker Frame Line	Chi tiết khung giác sơ đồ	g10_hybrid_production g10_veston_production
3	Marker Sample	Mẫu giác	g10_hybrid_production g10_veston_production
3	Material Colors	Màu NPL	g10_hybrid_production g10_production g10_veston_production
3	Mrp Allocation Line	Dòng phân bổ MRP	g10_hybrid_production g10_shirt_production g10_veston_production
3	My Activity Deadline	Thời hạn hoạt động của tôi	g10_production g10_shirt_production g10_stock
3	Need Inspection	Có kiểm hóa	g10_hybrid_production g10_master g10_veston_production
3	Next Activity Deadline	Thời hạn cho hoạt động tiếp theo	g10_production g10_shirt_production g10_stock
3	Next Activity Summary	Tóm tắt hoạt động tiếp theo	g10_production g10_shirt_production g10_stock
3	Next Activity Type	Loại hoạt động tiếp theo	g10_production g10_shirt_production g10_stock
3	"No fabric roll found with barcode ""%s"" in production floor stock."	"Không tìm thấy cuộn vải với mã barcode ""%s"" trong kho mặt sàn sản xuất."	g10_one_off_production g10_shirt_production g10_veston_production
3	Not pass quantity	SL không đạt	g10_hybrid_production g10_production g10_shirt_production
3	Parent Bundle	Bó vải cha	g10_hybrid_production g10_shirt_production g10_veston_production
3	Part Name	Tên chi tiết	g10_hybrid_production g10_master g10_veston_production
3	Ply Quantity	Số Lá	g10_hybrid_production g10_shirt_production g10_veston_production
3	Preceding Inspections	Kiểm hóa trước	g10_hybrid_production g10_one_off_production g10_veston_production
3	Product Count	Số lượng sản phẩm	g10_hybrid_production g10_veston_production
3	Product Segment	Chủng loại sản phẩm	g10_production g10_shirt_production g10_veston_production
3	Production Bundle	Số bọn	g10_hybrid_production g10_shirt_production g10_veston_production
3	Production Line Group	Nhóm chi tiết lệnh SX	g10_production g10_shirt_production g10_veston_production
3	Products	Sản phẩm	g10_hybrid_production g10_shirt_production g10_veston_production
3	Progress	Đang thực hiện	g10_production g10_shirt_production g10_veston_production
3	Quantity Lost	Hao hụt	g10_hybrid_production g10_stock g10_veston_production
3	Rechecks	Recheck	g10_one_off_production g10_production g10_veston_production
3	Reference	Mã	g10_hybrid_production g10_shirt_production g10_veston_production
3	Remaining Length	SL còn lại (m)	g10_hybrid_production g10_shirt_production g10_veston_production
3	Responsible User	Người chịu trách nhiệm	g10_production g10_shirt_production g10_stock
3	Result	Kết quả	g10_hybrid_production g10_production g10_shirt_production
3	Select Bundles to Add	Chọn Bọn	g10_hybrid_production g10_shirt_production g10_veston_production
3	Sewing Inspection Lines	Chi tiết kiểm hóa May	g10_hybrid_production g10_shirt_production g10_veston_production
3	Sewing Line Supply Lines	Chi tiết cấp chuyền May	g10_hybrid_production g10_shirt_production g10_veston_production
3	Sewing Supplies	Cấp chuyền may hỗn hợp	g10_hybrid_production g10_shirt_production g10_veston_production
3	Sewing Supply Details	Chi tiết cấp chuyền may hỗn hợp	g10_hybrid_production g10_shirt_production g10_veston_production
3	Shrinkage	Độ co	g10_hybrid_production g10_shirt_production g10_veston_production
3	Some bundles are not in draft state, cannot cancel the cutting table allocation!	Một số bó vải không ở trạng thái nháp, không thể hủy phiếu hạch toán bàn cắt!	g10_hybrid_production g10_shirt_production g10_veston_production
3	Some cutting inspections are not in draft state, cannot cancel the cutting table allocation!	Một số phiếu kiểm hóa cắt không ở trạng thái nháp, không thể hủy phiếu hạch toán bàn cắt!	g10_hybrid_production g10_shirt_production g10_veston_production
3	Stage Recheck	Recheck theo công đoạn	g10_mobile g10_production g10_veston_production
3	"Status based on activities
Overdue: Due date is already passed
Today: Activity date is today
Planned: Future activities."	"Trạng thái dựa trên hoạt động
Quá hạn: Hạn chót hạn đã qua
Hôm nay: Hôm nay là ngày phải thực hiện
Kế hoạch: Cần thực hiện trong tương lai."	g10_production g10_shirt_production g10_stock
3	Stock Request in/out	Phiếu yêu cầu nhập/xuất	g10_miti_synchronization g10_production g10_stock
3	Style Name	Tên Style	g10_hybrid_production g10_master g10_veston_production
3	Styles	Sản phẩm	g10_production g10_shirt_production g10_stock
3	Sub POs	Sub PO	g10_hybrid_production g10_production g10_veston_production
3	Supplied	Đã cấp chuyền May	g10_hybrid_production g10_shirt_production g10_veston_production
3	Supply Qty	Số lượng cấp	g10_one_off_production g10_shirt_production g10_veston_production
3	Table Allocation Lines	Chi tiết phiếu trải vải	g10_hybrid_production g10_shirt_production g10_veston_production
3	Table Details	Chi tiết bàn	g10_hybrid_production g10_shirt_production g10_veston_production
3	Technical Norms	Định mức KT	g10_hybrid_production g10_shirt_production g10_veston_production
3	The production defect and area must be unique per Recheck.	Mã lỗi và khu vực lỗi phải là duy nhất trên mỗi phiếu recheck.	g10_one_off_production g10_production g10_veston_production
3	Total	Tổng	g10_hybrid_production g10_shirt_production g10_veston_production
3	Total Consumable Length	Tổng tiêu hao	g10_hybrid_production g10_shirt_production g10_veston_production
3	Total Usage Length	Tổng tiêu hao	g10_hybrid_production g10_shirt_production g10_veston_production
3	Transfer	Lệnh chuyển hàng	g10_miti_synchronization g10_one_off_production g10_stock
3	Type of the exception activity on record.	Loại hoạt động ngoại lệ trong bản ghi.	g10_production g10_shirt_production g10_stock
3	Update Lines	Cập nhật chi tiết	g10_hybrid_production g10_shirt_production g10_veston_production
3	Waiting Approval	Chờ duyệt	g10_hybrid_production g10_one_off_production g10_production
3	You cannot check both pass and fail at the same time!	Bạn không thể đồng thời đánh dấu Đạt và Lỗi!	g10_hybrid_production g10_shirt_production g10_veston_production
3	You must approve all production documents before creating cutting table allocation!	Bạn phải duyệt tất cả phiếu sản xuất trước khi tạo phiếu hạch toán bàn cắt!	g10_hybrid_production g10_shirt_production g10_veston_production
2	"<span class=""o_stat_text"">Cutting Requests</span>"	"<span class=""o_stat_text"">Phiếu trải vải</span>"	g10_hybrid_production g10_veston_production
2	"<span class=""o_stat_text"">Cutting Table Allocation</span>"	"<span class=""o_stat_text"">Hạch toán bàn cắt</span>"	g10_shirt_production g10_veston_production
2	AQL Rule Line	Chi tiết AQL	g10_production g10_shirt_production
2	Accumulate Cutting Production Quality Pass Qty	Lũy kế đạt KCS	g10_hybrid_production g10_shirt_production
2	Accumulate Qty	Lũy kế	g10_hybrid_production g10_veston_production
2	Accumulate Quantity	SL lũy kế	g10_shirt_production g10_veston_production
2	Accumulated Exported Qty	Lũy kế xuất	g10_hybrid_production g10_veston_production
2	Accumulated Exported Supply Qty	Lũy kế xuất	g10_hybrid_production g10_veston_production
2	Accumulated Imported Supply Qty	Lũy kế nhập	g10_hybrid_production g10_veston_production
2	Accumulated Line	Chi tiết lũy kế	g10_hybrid_production g10_veston_production
2	Accumulated Qty	Số lượng lũy kế	g10_production g10_veston_production
2	Accumulated Supply Qty by Production	Luỹ kế cấp May theo LSX	g10_hybrid_production g10_veston_production
2	Accumulated qty by fabric	Lũy kế số lượng theo loại vải	g10_hybrid_production g10_veston_production
2	Agree	Đồng ý	g10_hybrid_production g10_veston_production
2	Allocation	Hạch toán bàn cắt	g10_hybrid_production g10_veston_production
2	Allocation By Sub PO	Hạch toán theo Sub PO	g10_hybrid_production g10_veston_production
2	Allocation Entire For	Hạch toán cả	g10_hybrid_production g10_veston_production
2	Allocation For	Hạch toán cho	g10_hybrid_production g10_veston_production
